iter	Passed	Remaining
0	1	188
1	3	186
2	5	177
3	6	161
4	8	159
5	9	155
6	11	155
7	13	153
8	14	151
9	17	153
10	18	152
11	20	150
12	22	148
13	23	146
14	25	143
15	26	141
16	28	138
17	29	136
18	31	135
19	33	134
20	35	132
21	36	130
22	38	128
23	39	126
24	41	124
25	43	122
26	45	122
27	46	120
28	48	118
29	50	117
30	51	115
31	53	114
32	55	112
33	57	111
34	58	109
35	60	107
36	62	105
37	63	103
38	65	102
39	66	100
40	68	98
41	68	95
42	70	93
43	72	91
44	73	90
45	75	88
46	76	86
47	78	85
48	80	83
49	81	81
50	83	80
51	85	79
52	87	78
53	90	77
54	91	74
55	93	73
56	94	71
57	95	69
58	97	67
59	98	65
60	100	63
61	101	62
62	103	60
63	104	58
64	105	56
65	106	54
66	107	53
67	108	51
68	110	49
69	111	47
70	112	45
71	113	44
72	114	42
73	115	40
74	116	38
75	118	37
76	120	35
77	121	34
78	122	32
79	123	30
80	125	29
81	126	27
82	127	26
83	128	24
84	130	22
85	131	21
86	132	19
87	134	18
88	135	16
89	136	15
90	137	13
91	139	12
92	140	10
93	141	9
94	142	7
95	143	5
96	145	4
97	146	2
98	148	1
99	149	0
